49606,5100	74
5100,49606	74
49606,5100	66
49606,5100	70
5100,49606	66
49606,5100	116
5100,49606	66
49606,5100	95
5100,49606	66
49606,5100	152
5100,49606	66
49606,5100	68
5100,49606	66
49606,5100	74
5100,49606	66
49606,5100	89
5100,49606	66
49606,5100	74
5100,49606	66
49606,5100	89
5100,49606	66
49606,5100	74
5100,49606	66
49606,5100	90
5100,49606	66
49606,5100	74
5100,49606	66
49606,5100	87
5100,49606	66
49606,5100	74
5100,49606	66
49606,5100	89
5100,49606	66
49606,5100	66
5100,49606	66
5100,49606	66
49606,5100	66
