36366,5201	74
5201,36366	74
36366,5201	66
36366,5201	70
5201,36366	66
36366,5201	120
5201,36366	66
36366,5201	68
5201,36366	66
36366,5201	68
5201,36366	66
36366,5201	70
5201,36366	66
36366,5201	163
5201,36366	66
36366,5201	68
5201,36366	66
36366,5201	71
5201,36366	66
36366,5201	1090
5201,36366	66
36366,5201	71
5201,36366	66
36366,5201	1090
5201,36366	66
36366,5201	71
5201,36366	66
36366,5201	1090
5201,36366	66
36366,5201	71
5201,36366	66
36366,5201	1090
5201,36366	66
36366,5201	71
5201,36366	66
36366,5201	344
5201,36366	66
36366,5201	67
5201,36366	66
36366,5201	14308
5201,36366	66
36366,5201	2119
5201,36366	66
36366,5201	1095
5201,36366	66
36366,5201	22348
5201,36366	66
36366,5201	30868
36366,5201	13263
5201,36366	66
5201,36366	66
36366,5201	66
